title,source_org,url,corpus_category,region_scope,user_persona,purpose,accessibility_relevant,e-bike_focused,employment_required,budget_band,source_type,date_added,last_checked,status,rationale,external_links
Beating the weather,TfGM,https://beeactive.tfgm.com/cycling/beating-the-weather,general,greater_manchester,occasional_cyclist;regular_cyclist,commuting;leisure;errands,false,false,false,low_cost;mid_range,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.youtube.com/beenetworkgm
Cycling for beginners start riding,TfGM,https://beeactive.tfgm.com/cycling/cycling-for-beginners-start-riding,general,greater_manchester,non_cyclist;fence_sitter,commuting;leisure;errands,false,false,false,free;low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.youtube.com/beenetworkgm
Cycling skills and bike maintenance courses,TfGM,https://beeactive.tfgm.com/cycling/courses-and-bike-maintenance,schemes,greater_manchester,non_cyclist;fence_sitter;occasional_cyclist,commuting;leisure;errands,false,false,false,free;low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://beryl.cc/terms;https://cycletraining.tfgm.com/PublicBooking/Index;https://cycletraining.tfgm.com/Register;https://cycletraining.tfgm.com/RegisterInterest/RegisterSelectCourseType;https://cycletraining.tfgm.com/RegisterInterest/TermsAndConditions;https://cycletraining.tfgm.com/RegisterInterest/registerselectcoursetype;https://cycletraining.tfgm.com/authentication/login;https://forms.office.com/e/YZSdQsa6tm;https://forms.office.com/pages/responsepage.aspx;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://tfgmcyclehire.app.link/nekQZbdICIb;https://twitter.com/beenetwork;https://www.facebook.com/beenetworkgm;https://www.gov.uk/electric-bike-rules;https://www.greatermanchester-ca.gov.uk/what-we-do/transport/gm-food-delivery-charter;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.youtube.com/beenetworkgm
Inclusive cycling and walking,TfGM,https://beeactive.tfgm.com/inclusive-cycling-and-walking,accessibility,greater_manchester,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,false,false,free;low_cost,official,2026/06/29,2026/06/29,active,,http://www.vitalise.org.uk;https://activetravel.tfgm.com/accessibility-statement;https://assets.ctfassets.net/xfhv954w443t/3SBdcM1AcVvWe83qBjQNjk/b6b02a1061c195a1bd95518bb3424204/GM_Map_-_TFGM_WEBSITE__5_.pdf;https://britishblindsport.org.uk/membership/bbs-sports/cycling;https://cyclingwithoutage.org.uk/southmanchester;https://news.motability.co.uk/inspiration/a-guide-to-cycling-with-a-disability;https://news.tfgm.com;https://simply-cycling.org;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://wheelsforall.org.uk/locations;https://wheelsforwellbeing.org.uk/wp-content/uploads/2019/06/FINAL.pdf;https://www.bikeradar.com/advice/buyers-guides/adaptive-bikes;https://www.britishcycling.org.uk/coaching/article/coast_Level_2_Disability_workshop;https://www.cyclinguk.org/article/cycling-guide/guide-to-adapted-cycles;https://www.cyclinguk.org/community-outreach/inclusive-cycling-network;https://www.cyclinguk.org/local-groups/bury-tandem-club-blind-partially-sighted-p;https://www.facebook.com/beenetworkgm;https://www.gmmoving.co.uk/news/commitment-to-inclusion-for-disabled-people-and-people-with-long-term-conditions;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.livingstreets.org.uk/media/7085/walking-for-everyone-web-version.pdf;https://www.nationalcyclingcentre.com/bmx/limitless;https://www.nationalcyclingcentre.com/track/limitless-94679b4e-190a-446f-8397-d99a9318008f;https://www.seashelltrust.org.uk;https://www.supportability.org.uk/services/wheelers;https://www.sustrans.org.uk/our-blog/research/all-themes/all/walking-for-everyone;https://www.youtube.com/beenetworkgm
Cycling every day for commuting and leisure,TfGM,https://beeactive.tfgm.com/cycling/upgrade-to-regular-riding-and-rule-the-road,general,greater_manchester,occasional_cyclist;regular_cyclist,commuting;leisure,false,false,false,low_cost;mid_range,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://tfgm.pindarcreative.co.uk;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.gov.uk/government/publications/cycle-to-work-scheme-implementation-guidance;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.youtube.com/beenetworkgm
Bike libraries,TfGM,https://beeactive.tfgm.com/cycling/bike-libraries,schemes,greater_manchester,non_cyclist;fence_sitter,commuting;leisure;errands,true,false,false,free;low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://www.facebook.com/beenetworkgm;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.youtube.com/beenetworkgm
Get a bike - Access to bikes,TfGM,https://beeactive.tfgm.com/cycling/get-a-bike,schemes,greater_manchester,non_cyclist;fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,true,true,false,free;low_cost;mid_range;high_investment,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://bikehivemanchester.wordpress.com;https://bromptonhire.com/locations/manchester;https://cyclistsfc.org.uk/our-charity-bike-shops/manchester-shop;https://news.tfgm.com;https://plattfieldsbikehub.org.uk;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.ceracycloan.co.uk;https://www.cycle2health.co.uk;https://www.didsburybicyclehire.co.uk;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.gov.uk/government/publications/cycle-to-work-scheme-implementation-guidance;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.manchesterbikes.co.uk;https://www.manchesterbikes.co.uk/bike-hire/altrincham-cargo-bikeshare;https://www.manchesterbikes.co.uk/bike-hire/hire-all-bikes;https://www.mcrbikekitchen.co.uk;https://www.positive-steps.org.uk/positive-steps-extra/positive-cycles;https://www.thebrick.org.uk/our-work/brick-re-use;https://www.thecyclingexperts.co.uk/find-a-shop;https://www.urbancyclecentre.co.uk;https://www.velotimes.com/bike-hire;https://www.youtube.com/beenetworkgm
Cycle parking,TfGM,https://beeactive.tfgm.com/cycling/cycle-parking,infrastructure,greater_manchester,occasional_cyclist;regular_cyclist,commuting;errands,false,false,false,free;low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.ncp.co.uk/parking-solutions/stockport-cycle-hub;https://www.northernrailway.co.uk/travel/cycle-hub/mco;https://www.salford.gov.uk/parking-roads-and-travel/cycling-and-walking/cycle-parking;https://www.salford.gov.uk/parking-roads-and-travel/cycling-and-walking/cycle-parking/walkden-cycle-hub;https://www.youtube.com/beenetworkgm
Starling Bikes,TfGM,https://beeactive.tfgm.com/cycle-hire,schemes,manchester;trafford;salford,fence_sitter;occasional_cyclist;regular_cyclist,commuting;leisure;errands,false,true,false,low_cost,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://beryl.app.link/NSDinTe52kb;https://beryl.app/NSDinTe52kb;https://beryl.cc;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://www.facebook.com/beenetworkgm;https://www.gmp.police.uk/livechat;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.starlingbank.com;https://www.youtube.com/beenetworkgm
Commuting by bike,TfGM,https://beeactive.tfgm.com/cycling/commuting-by-bike,general,greater_manchester,fence_sitter;occasional_cyclist,commuting,false,false,false,low_cost;mid_range;high_investment,official,2026/06/29,2026/06/29,active,,https://activetravel.tfgm.com/accessibility-statement;https://news.tfgm.com;https://tfgm.com;https://tfgm.com/about-tfgm;https://tfgm.com/careers;https://tfgm.com/commercial-and-marketing;https://tfgm.com/complaints;https://tfgm.com/contact;https://tfgm.com/corporate;https://tfgm.com/disclaimer;https://tfgm.com/help-and-contact-us/where-to-find-us;https://tfgm.com/privacy-policy;https://tfgm.com/procurement;https://tfgm.com/public-transport/travelling-with-a-bike;https://tfgm.com/the-bee-network;https://twitter.com/beenetwork;https://twitter.com/intent/tweet;https://www.facebook.com/beenetworkgm;https://www.facebook.com/sharer/sharer.php;https://www.gov.uk/government/publications/cycle-to-work-scheme-implementation-guidance;https://www.instagram.com/beenetworkgm;https://www.linkedin.com/company/transportforgreatermanchester;https://www.linkedin.com/sharing/share-offsite;https://www.youtube.com/beenetworkgm
